会社,刊行間隔,題名,
DeAgostini,隔週刊,東宝怪獣コレクション,キングギドラ、メカゴジラ、ヘドラ、ガイガン、ラドン！作品と時代を超えて、怪獣たちをラインナップ！  昭和・平成の時代を通じて東宝が生み出し、人々を魅了してきた怪獣たち。 隔週刊『東宝怪獣コレクション』
DeAgostini,週刊,ワイルド・スピード 日産スカイラインGT-R（R34）,日産スカイラインGT-R（R34）はユニバーサル・ピクチャーズの『ワイルド・スピード』シリーズで、数あるカーアクションのなかでも最も印象的なシーンに登場する主役級の一台。スピードと卓越したパフォーマン
DeAgostini,隔週刊,ブルーノート・ベスト・ジャズコレクション 高音質版,『BLUE NOTE best jazz collection』では毎号１人のアーティストを取り上げ て、その生き様や〈ブルーノート〉での活躍、〈ブルーノート〉の歴史を 紐解いていく。付属のCDは今ま
DeAgostini,隔週刊,JR全路線 DVDコレクション,駅や路線ヒストリーを解説する本誌と、貴重な撮り下ろし映像満載のDVDでお届けするDVD付きマガジン。  北海道から九州までのJR全路線を特集し、現存する車両だけでなく廃止された列車や、起点駅から終着駅
DeAgostini,隔週刊,HELLO KITTY なつかしのアイテムコレクション,隔週刊 『HELLO KITTYなつかしのアイテムコレクション』 毎号、70年代から90年代の発売商品を再現したハローキティのアイテムが1つ付きます。  創刊号は、1975年に発売したハローキティのデ
DeAgostini,隔週刊,男はつらいよDVDコレクション,隔週刊「男はつらいよDVDコレクション」は、国民的人気作「男はつらいよ」全50作をコンプリートできるDVD付きマガジンです。DVDは映像も音もクリアな〈HDリマスター版〉を使用し、マガジンも盛りだくさ
DeAgostini,隔週刊,スター・ウォーズ スターシップ＆ビークル・コレクション,本シリーズでは、スター・デストロイヤーや戦艦などの大型軍用船に、 スターファイターや爆撃機、さらに貨物船や輸送機、シャトル機に加えて、 地上や危険地帯で活動するスターシップやビークルを紹介する。 映画
DeAgostini,隔週刊,アメリカンカー コレクション,古き良き憧れのアメ車がここに集結! ダイキャスト製ミニチュアコレクション 1960~1970年代を中心とした憧れのアメ車たち全80種を、1/43スケールでリアルに再現したダイキャスト製ミニチュアでコレ
DeAgostini,隔週刊,メタルヒーロー DVDコレクション,地球と人類のために戦う宇宙刑事の活動記録がついに登場!隔週刊『メタルヒーロー DVDコレクション』創刊 「メタルヒーローシリーズ」初期3作品をテレビ放映順に完全収録した、隔週刊『メタルヒーロー DVD
DeAgostini,隔週刊,日本の名車コレクション,だれもが憧れた日本の名車たちが1/64スケールで蘇る　隔週刊『日本の名車コレクション』創刊1/64統一スケールのダイキャスト製モデルと、貴重な資料を満載したマガジンでお届けする、隔週刊『日本の名車コレ
DeAgostini,隔週刊,たのしい つまみ細工,必要な道具もセットで初心者でも日本の伝統工芸を楽しめる 隔週刊『たのしい つまみ細工』創刊　隔週刊『たのしい つまみ細工』は、小さな布をピンセットでつまみ、ボンドで貼るだけのシンプルな作業で、初心者の
DeAgostini,隔週刊,ディズニー マジカル オーディオ えほん,目と耳でディズニーの名作をたのしむ、知育に最適なオーディオブック ディズニーの人気キャラクターのフィギュアを専用スピーカーに乗せると、プロの声優による朗読で、ディズニーの不朽の名作の物語を目と耳で楽し
DeAgostini,隔週刊,必殺シリーズDVDコレクション,ハードボイルド時代劇の金字塔「必殺シリーズ」と劇場版をDVDとマガジンで楽しむ 本シリーズは、「必殺仕掛人」から「必殺剣劇人」までの21シリーズに加えて、劇場版も収録。マガジンでは、毎号付いてくるDV
DeAgostini,隔週刊,鉄道 ザ・プロジェクト,伝説となった鉄道プロジェクトに光を当てる 本シリーズでは、毎号鉄道にまつわるプロジェクトを取り上げ、当時の貴重な映像や再現ドラマ、関係者へのインタビューを収録したDVDと、プロジェクトをひも解く資料を
DeAgostini,週刊,陸上自衛隊 90式戦車をつくる,圧倒的重量感を誇る第3世代国産戦車 週刊『陸上自衛隊 90式戦車をつくる』創刊  1990年に制式化された陸上自衛隊の3代目の国産戦車「90式戦車」が完成する、週刊『陸上自衛隊 90式戦車をつくる』を
DeAgostini,隔週刊,暴れん坊将軍 DVDコレクション,シーズン1・シーズン2をDVD付きマガジンに初完全収録 隔週刊『暴れん坊将軍DVDコレクション』創刊 大スター・松平健が演じる八代目将軍・徳川吉宗の凛々しくも爽やかな姿やホームドラマ的要素が人気を集め
DeAgostini,隔週刊,仮面ライダーDVDコレクション 平成編,仮面ライダー生誕50周年！平成を彩った『クウガ』から『ディケイド』までが集結！ 2021年4月に生誕50周年を迎えた「仮面ライダー」作品の中から、ミレニアムイヤーに復活を果たした平成ライダーの10作品
DeAgostini,週刊,Honda NSX-R, 世界を驚かせたピュアスポーツカーが史上初の1/8スケールで蘇る 週刊『Honda NSX-R』創刊  ■NSX-Rの美しいフォルムを初の1/8スケールで徹底再現 外観のデザインはもちろんのこと、外か
DeAgostini,隔週刊,刺しゅうで楽しむ スヌーピー&フレンズ, スヌーピーと仲間たちが、かわいい刺しゅうになって登場！隔週刊 『刺しゅうで楽しむ スヌーピー＆フレンズ』 創刊  世界中で愛されるコミック 『ピーナッツ』 に登場するスヌーピーと仲間たちの世界が、か
DeAgostini,隔週刊,たのしいムーミンキルト, ムーミン谷の仲間たちと楽しむ《材料キット付き》ソーイング 毎号届くキットを使って人気のムーミンキャラクターが並ぶインテリアカバーと、日常生活で使える雑貨小物を作っていくソーイングシリーズ。当シリーズ
DeAgostini,週刊,ウルトラホーク1号," 地球を守ったあの銀翼の勇姿が[全長87.5cm]のビッグスケールでよみがえる！週刊『ウルトラホーク1号』創刊
特撮ドラマの金字塔『ウルトラセブン』に登場する、ウルトラ警備隊の誇る多目的戦闘機「ウルト"
DeAgostini,隔週刊,仮面ライダー DVDコレクション,"仮面ライダー生誕50周年！平成を彩った『クウガ』から『ディケイド』までが集結！
2021年4月に生誕50周年を迎えた「仮面ライダー」作品の中から、ミレニアムイヤーに復活を果たした平成ライダーの10作品"
DeAgostini,週刊,スプリンタートレノ AE86,"走り屋たちの熱き伝説“ハチロクトレノ”をつくる　週刊『スプリンタートレノ AE86』創刊
“ハチロク”の愛称で人気を誇る「TOYOTA スプリンタートレノ AE86」（前期型）が完成する週刊『スプリン"
DeAgostini,隔週刊,ビッグスケールF1コレクション,"F1(TM)オフィシャルライセンス　歴代F1の伝説が1/24スケールのダイキャストモデルで蘇る！隔週刊『ビッグスケール F1(TM)コレクション』

F1の栄光の歴史にその名を刻んだ名車たち全80種を"
DeAgostini,週刊,航空自衛隊 F-2戦闘機をつくる," 実機取材で忠実に再現! 世界初の1/24ビッグスケール・ダイキャスト製モデル 週刊『航空自衛隊 F-2戦闘機をつくる』創刊

「バイパーゼロ」の異名を持ち、日本の防空最前線を翔ける航空自衛隊の戦闘機"
DeAgostini,週刊,Honda NSX," 世界を驚かせたピュアスポーツカーが史上初の1/8スケールで蘇る 週刊『Honda NSX-R』創刊

■NSX-Rの美しいフォルムを初の1/8スケールで徹底再現
外観のデザインはもちろんのこと、外か"
DeAgostini,週刊,日本の島," ～島を知り、日本を知る。～世界遺産から上陸困難な島まで、日本の島を愉しむビジュアルマガジンシリーズ　週刊『日本の島』 創刊

自然・歴史・文化・くらしなど島に関するあらゆる情報を網羅するビジュアルマ"
DeAgostini,週刊,護衛艦いずもをつくる," 圧倒的な精度で完全再現! 全長約100cmの大迫力のスケールモデルを組み立てる!
ダイキャスト製、1/250スケールで再現。さまざまな可動ギミックが組み込まれており、模型を組み立てるだけではなくオペ"
DeAgostini,隔週刊,JAL旅客機コレクション,"JAL歴代の航空機が1/400 統一スケールのダイキャスト製モデルで揃うかつてないコレクション!

JAL製作協力のもと、待望のシリーズが誕生!

戦後初の航空会社として設立されたJAL。長きにわたる"
DeAgostini,隔週刊,キャシーといっしょにハワイアンキルト,"暮らしが明るく元気になる
キャシーワールドへようこそ

隔週刊『キャシーといっしょにハワイアンキルト』は毎号ついてくるキットを使って、ハワイアンな作品を作っていくソーイングシリーズです。
気楽に始めら"
DeAgostini,週刊,マーベル・ファクト・ファイル," 世界を悪の手から救う正義の使者マーベルヒーローが一堂に集結!

1939年、多数のスーパーヒーローを輩出し、コミック界だけでなく
映画やテレビ、アニメやゲームを席巻する「マーベル・コミック」が誕生し"
DeAgostini,隔週刊,西遊記DVDコレクション," 特撮伝奇エンターテインメントの傑作『西遊記』、『西遊記II』が今蘇る！隔週刊 『西遊記 DVDコレクション』 創刊
1978年放送の日本テレビ制作のドラマ『西遊記』シリーズをDVD付きマガジン化した"
DeAgostini,隔週刊,古畑任三郎DVDコレクション," 「田村正和 × 三谷幸喜」 傑作ミステリ・ドラマがDVDコレクションで蘇る! 隔週刊 『古畑任三郎 DVDコレクション』 創刊

1994年放送開始の三谷幸喜脚本・田村正和主演の「古畑任三郎」シリー"
DeAgostini,週刊,ナイトライダー," 世界中の人々が熱狂した伝説の電子頭脳搭載車「ナイト2000」史上初、1/8ビッグスケールギミックモデル
毎号付属のパーツを組み立てると、海外ドラマ「ナイトライダー」に登場するドリーム・カー「ナイト2"
DeAgostini,週刊,スカイライン2000GT-R【KPGC110】,"幻のGT-Rとも呼ばれる「ケンメリGT-R」を日産自動車完全監修で再現!
1/8スケールの組み立てシリーズで、可動部が多く、ランプやエンジン音も再現した本格志向のモデルとなっています。
■全長約56c"
DeAgostini,隔週刊,ザ・マジック,"マガジンとDVDのわかりやすい解説で
""憧れのマジック""ができるようになる!!

隔週刊「ザ・マジック」は、世界22ヶ国、数百名ものマジシャンをクライアントとする
マジシャンMAGUS(メイガス)が、"
DeAgostini,隔週刊,日本の城 DVDコレクション, 隔週刊「日本の城 DVDコレクション」は、2015年よりBS朝日で放送された 『歴史ミステリー日本の城見聞録』を再編集して収録したDVDと、 番組の内容をさらに深堀りして楽しめるマガジンがセットにな
DeAgostini,週刊,つくって あつめる スヌーピー＆フレンズ," ピーナッツの名シーンがミニチュアになって大集合!
ミニチュアボックスは、犬小屋型ディスプレイケースに収めて飾ることができます。

■つくってあつめて楽しめる! 犬小屋型ボックスコレクション
1950"
DeAgostini,月刊,第二次世界大戦傑作戦車コレクション,"株式会社デアゴスティーニ･ジャパンは、第二次世界大戦に登場した世界の主力戦車を、
1/43のビッグスケールでコレクションできる『第二次世界大戦 傑作戦車コレクション』を
2021年12月8日（水）より"
DeAgostini,週刊,かわいい刺しゅう,"夢あふれる童話の刺しゅう絵と、雑貨小物を刺しながらさまざまなステッチに出会えるシリーズです。 『隔週刊 
かわいい刺しゅう』は、毎号キットとして、フランスの老舗刺しゅう糸メーカー『DMC』の刺しゅう糸"
DeAgostini,週刊,ロビ2,新時代のフレンドリーロボット「ロビ」が、新機能を搭載してパワーアップ！ ロビとあなたの新しい暮らしがはじまる！ 日本で一番売れた二足歩行のコミュニケーションロボット〈ロビ（Robi）〉。 新しいロビは
DeAgostini,週刊,ロビ 第三版,"新時代のフレンドリーロボット「ロビ」を、自分の手で簡単に組み立てることができる！ 
スマートなデザインに加え、愛らしい“動き”と“会話”を通して心を和ませてくれる新時代のフレンドリーロボット「ロビ」。"
DeAgostini,週刊,ガンダム・モビルスーツ・バイブル,1冊で1機のMSを極限にまで掘り下げたガンダムファン必携のマガジン！ 『機動戦士ガンダム』シリーズにおける戦場の主役であり、幾多の戦闘に投入されては峻烈な印象を残した人型兵器モビルスーツ(MS)。 作
DeAgostini,週刊,アイアンマン,"ダイキャスト製、全長60cm・52か所の関節と6か所のLED発光ギミック！ 
主人公であるトニー・スタークが開発した数十モデルのアイアンマンの中で、2008年公開の実写映画『アイアンマン』に登場し、現"
DeAgostini,週刊,ワイルド・スピード ダッジ・チャージャー R/T,"『ワイルド・スピード』で圧倒的な存在感を放つダッジ・チャージャーR/T。 《大迫力モデル》×《充実のマガジン》 究極の“ワイルド・スピード”体験！ 
第1作の公開から15年以上を経た『ワイルド・スピー"
DeAgostini,週刊,サンダーバード秘密基地,"南太平洋に浮かぶ孤島の地下に築かれた秘密基地。 これは、サンダーバードメカの発進プロセスから格納庫の内部構造まで、徹底的に作りこむ“前代未聞”のシリーズだ！ 
創刊号には島内の基地に秘められたすべての"
DeAgostini,週刊,ゴジラをつくる,"日本が誇る偉大なキャラクター「ゴジラ」。 
1954(昭和29)年の記念すべき映画「ゴジラ」の封切りから65年、ゴジラ映画は30作以上を数え、2019年には新たなハリウッド版ゴジラの公開があり、国と世"
DeAgostini,週刊,日本刀,1000年を超える日本刀の美と歴史を完全網羅。 美と技の粋を味わい尽くす。 日本刀の魅力 そのすべてがわかる！ 美しさと強靱さを併せ持ち、高い精神性を宿す日本刀。 刀剣ブームのなか、その魅力を余すとこ
DeAgostini,週刊,YAMAHA YZR-M1 バレンティーノ・ロッシ モデル,バレンティーノ・ロッシの愛機“YAMAHA YZR-M1”をビッグスケールで組み立てる! ! 2004年のヤマハ移籍後、バレンティーノ・ロッシと共に記録と伝説をつくり続けてきたYAMAHA YZR-M
DeAgostini,隔週刊,自衛隊DVDコレクション,"陸海空、全『自衛隊』真の姿！ その全貌をコレクション！ 
迫力のドキュメント映像を体感しながら、誌面の解説でその全貌を掘り下げる待望のDVD付きマガジンがついに登場！今では見られなくなった貴重なシーン"
DeAgostini,隔週刊,神社百景 DVDコレクション 再刊行版,日本全国の神社の中から選りすぐりの名社をマガジンの解説とともに、映像とナレーションでご紹介します。 古より、人々の信仰を集めてきた神の社。 人々を見守り、畏れ敬われてきた神々は、今も全国の社と人々の心
DeAgostini,隔週刊,クイーン・LPレコード・コレクション,"歴史の一部となった作品の数々… 
クイーンの音楽を全25号にまとめた独自のLPレコード・コレクション。2枚組、3枚組を含む、すべてのアルバムを180gの重量盤レコードとして再プレスした。毎号付いてくる"
DeAgostini,週刊,NISSAN GT-R NISMO,"世界が憧れる走りの頂点 NISSAN GT-R NISMO(MY17) ""NISSAN GT-R×NISMO 目指したのは究極のドライビングプレジャーの追求"" ― Pursuit of Ultimat"
DeAgostini,週刊,ジャガー・Eタイプ,時代を超えたイギリススポーツカーの最高峰「ジャガー・Eタイプ」。 本シリーズでは、精密につくられたモデルを組み立てるとともに、ジャガーの世界観を紹介していきます。 毎号提供されるのは、可動式ボンネット
DeAgostini,週刊,栄光の日本海軍 パーフェクトファイル,"世界初！彩色写真とCGでオールカラー化を実現！ 日本海軍パーフェクト大百科！！ 「週刊 
栄光の日本海軍パーフェクトファイル」は、日本海軍にまつわるあらゆる事実を、全編にわたるカラー彩色写真とCG画像"
DeAgostini,隔週刊,鉄道 ザ・ラストラン,今はもう見ることのできない 名列車、名車両たちのありし日の姿を マガジンとDVDでたどっていきます！寝台特急列車や新幹線、また電気機関車から気動車まで… そのラストランの貴重な記録をコレクション！ 最
DeAgostini,隔週刊,ニードルフェルトでねこあつめ,ニードルフェルトを楽しんで『ねこあつめ』しましょう！ 人気ゲーム『ねこあつめ』のねこたちが全員フェルトマスコットになりました。 眺めているだけで癒されるあのねこたちが、毎号付いてくる素材で、毎号ひとつ
DeAgostini,週刊,スター・ウォーズ R2-D2,"『スター・ウォーズ』の人気アストロメク・ドロイドをあなたの手で組み立てよう! 
映画そのままのR2-D2を精巧に再現したオリジナル組み立て式スケールモデルが登場。世界でもっとも有名なアストロメク・ドロ"
DeAgostini,週刊,マツダ・コスモスポーツ,あれから50年の歳月を経て－伝説のエンジンと共に、名車「マツダ・コスモスポーツ」が帰ってきた。 作動原理が分かる。実物の1/2スケールロータリーエンジンモデル付き! 週刊「マツダ・コスモスポーツ」では
DeAgostini,週刊,ムーミンハウスをつくる,"誰もがあたたかく迎え入れられる、世界中でたったひとつの場所、ムーミンハウス。 
芸術家で小説家のトーベ・ヤンソンが生み出した『ムーミン』の世界から、時代を越えて親しまれるムーミンハウスが精巧な組み立て"
DeAgostini,隔週刊,ザ・ビートルズ・LPレコード・コレクション,"音楽史に名を刻むあの名盤をもう一度。 180g重量盤LPで聴く 
ビートルズ・ファン必携のアルバム・コレクション。2枚組、3枚組アルバムを含む全23号のビートルズ名盤シリーズだ。本シリーズのために特別"
DeAgostini,隔週刊,籐でつくる小物とバッグ,自分でつくる籐のバッグと小物で、普段の暮らしをもっと素敵に、もっと豊かに。 天然素材の籐を使って、手づくりのかごバッグや小物をつくりましょう。 隔週刊『籐でつくる小物とバッグ』は、楽しみながら籐の作品
DeAgostini,隔週刊,日本の名峰 DVD付きマガジン,"個性豊かな日本各地の名峰を訪ね、山の魅力に迫る！ DVDには毎号、BS-TBS『日本の名峰 絶景探訪』から1話を再編集して収録。 
絶景はもちろん、その地で見る「朝日」にもこだわり、季節、天気、気温な"
DeAgostini,週刊,バック・トゥ・ザ・フューチャー デロリアン,『バック・トゥ・ザ・フューチャー』で一躍名を馳せ、世界で最も有名となったタイムマシン、デロリアン。 斬新なメタルボディ、近未来的なガルウイングドア。 あのデロリアンが、8分の1ビッグスケールモデルで帰
DeAgostini,隔週刊,F1マシンコレクション,"時代を駆け抜けたレジェンドマシンをその手に！ 待ちに待ったスケールモデルの傑作、1950年の発足以来F1史に燦然と輝く名車の数々が、チームの枠を超えてここに集結した。 
本シリーズの1/43スケール・"
DeAgostini,週刊,おしえて！ おしゃべりガイコツ,"骨はからだを支えているんだボーン！ それにね…なんで骨はあるんだろう？ 
しゃべる人体模型、ホネッキーを完成させるシリーズです。骨や内臓を組み立てながら、人のからだのしくみがどうなっているのかが、楽し"
DeAgostini,週刊,日本の城 改訂版,"『日本の城 改訂版』大好評につき再刊行。日本の城を知り尽くす！ 
現存する天守から、櫓、門、わずかに残っている山城や砦まで、日本全国に残る数々の城を詳細に解説。当時の姿を再現した復元CGや内部の断面図"
DeAgostini,隔週刊,ジャズ・LPレコード・コレクション,"すべてのジャズ・アルバムの背景に、すばらしいストーリーがある。 
ミュージシャン同士の奇跡的な化学反応、クラブやバーでの記憶に残るセッション、そして時に訪れる悲劇的最期。パーソネルを紹介する「演奏者た"
DeAgostini,週刊,マイ3Dプリンター 再刊行版,"3Dプリンターの世界にようこそ！ 
工業デザイナーでなくても、アーティストでなくても、自分のイメージしたものを実際に作ることができたら！それを実現できるのが、3Dプリンターの世界です。たとえば、デスク"
DeAgostini,隔週刊,傑作カンフー映画 ブルーレイ コレクション,"最強の""観るエナジー・ドリンク"" カンフー映画の原動力は""怒り""である。世にはびこる理不尽と不正義に対し、かつてヒーローやヒロインたちは湧き上がる ""怒り"" 
を胸に、拳ひとつで戦いを挑んだ。それは、"
DeAgostini,隔週刊,レ・グランディ・フェラーリ・コレクション,"大迫力の1/24スケール！ダイキャストモデルとカタログのように美しいマガジンで楽しむフェラーリの世界 ビッグスケール・ディティール・マテリアルにこだわった、待望のフェラーリコレクション。 
世界に名を"
DeAgostini,隔週刊,神社百景DVDコレクション,古より人々の信仰を集めてきた神の社 人々を見守り、畏れ敬われてきた神々は、今も全国の社と人々の心に鎮まる。 『隔週刊 神社百景DVDコレクション』は、BSジャパンで放映された 「神社百景 GRACE 
DeAgostini,隔週刊,円谷プロ特撮ドラマDVDコレクション,"昭和の日本が生み出した 円谷プロによる珠玉の作品群 特撮黎明期に放映された革新的な連続ドラマシリーズ『ウルトラQ』。 
""特撮の神様""円谷英二が手がけた『Q』の大ヒット以降、円谷プロは高度経済成長期の"
DeAgostini,隔週刊,第二次世界大戦 傑作機コレクション,"ダイキャストモデルと詳細な解説マガジンで第二次世界大戦の傑作機のすべてを手に入れる！ 
ダイキャストならではの重量感あふれる精密モデルと、貴重な写真やリアルなイラスト、CGを満載したマガジンで、古き良"
DeAgostini,隔週刊,釣りバカ日誌 映画DVDコレクション,"『釣りバカ日誌』シリーズの全22作品を完全収録！！ 毎号のDVDの見どころシーンを場面写真とセリフで紹介します。 
並んでいるだけで面白いハマちゃんとスーさんの釣りシーン、事件が巻き起こる浜崎家のリビ"
DeAgostini,週刊,サンダーバード２号＆救助メカ,"細部まで忠実に再現した本格コレクション。感動と熱狂が今、よみがえる。 
国際救助隊の超音速輸送機「サンダーバード2号」に加え、「ジェットモグラ」、「高速エレベーターカー」など特殊任務を遂行する救助メカ"
DeAgostini,週刊,ディズニー・ドリーム・シアター,"ディズニーの舞台が、あなたの部屋にやってくる！ 
プリンセスとプリンスの運命的な出会い。きらびやかな舞台で、ふたりの物語がはじまります。ディズニー不朽の名作といわれる３つの作品の美しい場面を、洗練され"
DeAgostini,隔週刊,空から日本を見てみようDVDコレクション,"日本列島を空中散歩！『空から日本を見てみよう』は、テレビ東京系列で2009年10月15日から2011年9月15日まで約2年間放映された、新感覚バラエティー。 
「くもじい」と「くもみ」のキャラクターが"
DeAgostini,週刊,スター・ウォーズ ミレニアム・ファルコン,"『帝国の逆襲』 －撮影用モデルを精巧に再現－ 
『スター・ウォーズ』初期3部作の製作にあたり、ミレニアム・ファルコンは、いくつかの撮影用模型がつくられた。とりわけ、第2作『帝国の逆襲』のアクションシー"
DeAgostini,週刊,昭和にっぽん 鉄道ジオラマ,"昭和の日本をディテールにこだわったミニチュアで精細に再現。 
昭和39(1964)年10月1日、東海道新幹線が開通し、10月10日には東京オリンピックが開幕しました。日本が元気一杯だった高度成長期のあ"
DeAgostini,隔週刊,リバティプリントでハンドメイド,"リバティプリントで手作りを楽しみ、豊かに、ていねいに時間を重ねて。 
毎号キットとして付いてくる、リバティプリントとその他の材料で手作りを楽しんでいただく、ソーイングコースです。70種類以上のリバティ"
DeAgostini,隔週刊,必殺仕事人DVDコレクション,『必殺仕事人DVDコレクション』は、藤田まこと演ずる中村主水の「必殺仕事人」9シリーズと、映画、スペシャル版を網羅。 マガジンではビジュアルを多用して、ドラマの見どころや江戸時代の暮らしを解説します。
DeAgostini,隔週刊,映画クレヨンしんちゃん DVDコレクション,"大人から子供まで、幅広い層のファンに人気を誇る、歴代の『映画クレヨンしんちゃん』をDVDとマガジンで多面的に楽しむ！ 
1993年に公開された、『アクション仮面VSハイグレ魔王』以来1年に1本のペース"
DeAgostini,週刊,スカイライダー・ドローン,"Sky Rider DroneでRC フライトは新次元へ！ 世界レベルのデザイン性と最先端デジタル技術の融合、今、世界中が注目する最新RCモデル「ドローン」(RC 
はラジオコントロールの略)。従来の"
DeAgostini,週刊,蒸気機関車C57を作る,"圧倒的なスケール感と際立つディテール、金属の質感あふれるC57があなたの手で蘇る。 
細めのボイラとボックス動輪から生まれる美しいフォルムが魅力のC57。その佇まいを24分の1のダイナミックなスケール"
DeAgostini,隔週刊,ジッポー コレクション 80th Anniversary,"世界中のファンに愛されてきた ライターの逸品、Zippo。強風をものともしない着火性。 
破損という言葉とは無縁の堅牢性。極めてシンプルな構造によるメインテナンスの容易さ。 そして、男たちの魂をとらえ"
DeAgostini,週刊,マイ3Dプリンター,"3Dプリンターの世界にようこそ！ 
工業デザイナーでなくても、アーティストでなくても、自分のイメージしたものを実際に作ることができたら！それを実現できるのが、3Dプリンターの世界です。たとえば、デスク"
